index,value
680,0.84375
681,0.88671875
682,0.87109375
683,0.8515625
684,0.8984375
685,0.84375
686,0.859375
687,0.875
688,0.84765625
689,0.94921875
690,1.671875
691,0.88671875
692,0.80859375
693,0.84765625
694,0.89453125
695,0.83203125
696,0.83984375
697,0.86328125
698,0.8359375
699,0.84765625
700,0.8828125
701,0.8203125
702,0.953125
703,0.828125
704,0.859375
705,0.875
706,0.84375
707,0.890625
708,0.8515625
709,0.859375
710,2.0
711,1.5234375
712,0.84765625
713,0.84375
714,0.8203125
715,0.86328125
716,0.85546875
717,0.87890625
718,0.8515625
719,0.921875
720,0.9609375
721,0.8671875
722,0.83984375
723,0.921875
724,0.84765625
725,0.98046875
726,0.828125
727,0.875
728,0.84375
729,1.0234375
730,0.9765625
731,0.85546875
732,0.85546875
733,0.98828125
734,0.83984375
735,0.875
736,0.84765625
737,0.90625
738,0.90234375
739,0.87109375
740,0.89453125
741,0.94140625
742,0.87890625
743,0.84375
744,0.83203125
745,1.0703125
746,0.91796875
747,0.8671875
748,1.1640625
749,0.82421875
750,0.8828125
751,1.03125
752,1.1796875
753,0.953125
754,1.0625
755,0.83984375
756,0.859375
757,0.87109375
758,0.8359375
759,0.89453125
760,0.8671875
761,0.85546875
762,0.859375
763,0.82421875
764,0.83984375
765,0.87890625
766,0.87109375
767,0.96484375
768,0.875
769,0.859375
770,0.88671875
771,0.828125
772,0.84765625
773,1.0234375
774,0.8203125
775,0.83984375
776,0.83984375
777,0.83984375
778,0.98046875
779,0.9140625
780,0.828125
781,0.89453125
782,0.88671875
783,0.875
784,0.8359375
785,0.859375
786,0.91015625
787,0.88671875
788,0.84375
789,0.85546875
790,1.109375
791,0.875
792,0.8984375
793,0.83984375
794,0.9296875
795,0.9296875
796,0.8359375
797,0.82421875
798,0.8359375
799,0.84765625
800,0.9375
801,0.86328125
802,0.984375
803,0.85546875
804,0.83203125
805,0.8359375
806,0.81640625
807,0.8828125
808,0.83984375
809,0.9140625
810,0.8515625
811,0.828125
812,0.90625
813,1.015625
814,0.828125
815,0.8046875
816,0.859375
817,0.85546875
818,0.859375
819,0.87890625
820,1.4296875
821,0.91015625
822,0.85546875
823,0.84375
824,0.86328125
825,0.875
826,0.88671875
827,0.86328125
828,0.98046875
829,0.890625
830,0.8515625
831,0.83203125
832,0.87890625
833,0.859375
834,0.83203125
835,0.921875
836,0.83984375
837,0.85546875
838,0.9296875
839,0.84765625
840,0.84375
841,0.984375
842,0.93359375
843,0.90625
844,0.90625
845,0.88671875
846,0.9140625
847,0.84765625
848,0.875
849,0.86328125
850,0.85546875
851,0.8515625
852,0.8515625
853,0.85546875
854,0.82421875
855,1.1640625
856,0.859375
857,0.8515625
858,1.2578125
859,0.89453125
860,0.85546875
861,0.87109375
862,0.94140625
863,0.8671875
864,0.85546875
865,1.03125
866,0.84765625
867,1.1875
868,0.99609375
869,0.8359375
870,0.83984375
871,0.88671875
872,0.8515625
873,0.9375
874,0.84765625
875,0.84765625
876,0.83984375
877,0.8828125
878,1.0546875
879,0.86328125
880,0.85546875
881,0.8671875
882,0.88671875
883,0.8515625
884,0.87109375
885,0.84375
886,0.81640625
887,0.8515625
888,0.9140625
889,0.83984375
890,0.84765625
891,0.87109375
892,0.890625
893,0.89453125
894,0.875
895,0.94140625
896,0.85546875
897,0.98828125
898,0.8828125
899,0.83984375
900,0.81640625
901,0.875
902,0.86328125
903,1.1171875
904,1.03125
905,0.8515625
906,0.90625
907,0.9296875
908,0.890625
909,0.83984375
910,0.96875
911,0.87890625
912,0.85546875
913,0.82421875
914,0.95703125
915,0.83203125
916,0.8671875
917,0.86328125
918,0.81640625
919,0.8671875
920,1.1328125
921,0.859375
922,0.875
923,0.88671875
924,0.859375
925,0.93359375
926,0.83203125
927,0.85546875
928,0.875
929,0.85546875
930,0.859375
931,0.84765625
932,0.8359375
933,0.87890625
934,0.91796875
935,0.828125
936,1.015625
937,0.92578125
938,0.83984375
939,0.86328125
940,0.89453125
941,0.92578125
942,0.890625
943,0.91796875
944,0.875
945,0.86328125
946,0.98046875
947,0.86328125
948,0.81640625
949,0.8515625
950,0.859375
951,0.8515625
952,0.890625
953,0.8984375
954,1.140625
955,0.81640625
956,0.8515625
957,0.84375
958,1.203125
959,0.83984375
960,0.84375
961,0.87890625
962,0.83203125
963,0.8671875
964,0.83984375
965,1.09375
966,0.91796875
967,0.875
968,0.87890625
969,0.92578125
970,1.2265625
971,0.87109375
972,1.0390625
973,0.875
974,0.8515625
975,0.8671875
976,0.796875
977,0.95703125
978,0.8984375
979,0.94921875
980,0.85546875
981,0.8359375
982,1.1171875
983,0.8984375
984,0.96484375
985,0.96875
986,0.875
987,0.8515625
988,0.85546875
989,0.8359375
990,0.859375
991,0.85546875
992,0.8515625
993,0.875
994,0.9765625
995,0.90234375
996,0.93359375
997,0.875
